"Unable to Place Order!! Payment has been failed","Impossibile elaborare l'ordine. Autorizzazione pagamento non riuscita."
"KlarnaCredit Checkout has been canceled.","La vostra Klarna richiesta di annullamento è stata elaborata correttamente."
"Unable to cancel Klarna Checkout","In questo momento"," è impossibile elaborare di annullamento con Klarna"
"Paypal Checkout has been canceled.","La vostra Paypal richiesta di annullamento è stata elaborata correttamente."
"Unable to cancel Paypal Checkout","In questo momento"," è impossibile elaborare di annullamento con Paypal"
"Make a payment from your new or existing PayPal account.","Effettua un pagamento dal tuo account PayPal (nuovo o già in essere)"
"Tax","Tasse"
"Unable to Place Order","Impossibile elaborare l'ordine"
"Edit","Modifica"
"Unable to process","Impossibile elaborare l'ordine"
"ending in","termina con"
"New Card","Nuova carta"
"Credit Card Number","Numero di carta di credito"
"Month/Year","Mese/Anno"
"Card Security Code","Codice di sicurezza della carta"
"Payment Instructions","Istruzioni per il pagamento"
"Please make your payment now to complete your order.","Effettua il pagamento ora per completare l'ordine." 
"Provide your bank with the following wire transfer instruction:","Fornisci alla tua banca i seguenti dati per il bonifico"
"Amount:","Importo"
"Wire Transfer Reference Number:","Numero di riferimento del bonifico bancario"
"Bank:","Banca"
"Location:","Località"
"Account Holder:","Titolare conto"
"Account Number:","Numero di conto"
"Swift Code:","Swift"
"Expiration Time:","Tempo scadenza"
"Payment Information","Dati per il pagamento"
"Place Your Order","Effettua ordine"
"Saved Cards","Conti di carta di credito salvati"
"Expiration Date:","Data scadenza"
"Save this card for future use","Salva questo account e le informazioni di pagamento per acquisti futuri"
"Card Name:","Nome della carta di credito"
"There is an issue with Refund at DR side","L'operazione di  rimborso non può essere completato da Digital River"
"Error! Please check your address and try again.","Errore! Verifica il tuo indirizzo e riprova."
"Failed to get Source! Please try again.","Impossibile recuperare source. Per favore riprova."
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","Uno o più articoli nel carrello non possono essere acquistati in questo momento. Attendi e riprova a effettuare l'ordine."
