Unable to Place Order!! Payment has been failed,Nie można przetworzyć zamówienia. Autoryzacja płatności nie powiodła się.
KlarnaCredit Checkout has been canceled.,Wniosek o anulowanie został przyjęty przez Klarna.
Unable to cancel Klarna Checkout,W tej chwili nie możemy anulować realizacji transakcji za pomocą strony internetowej Klarna.
Paypal Checkout has been canceled.,Wniosek o anulowanie został przyjęty przez PayPal.
Unable to cancel Paypal Checkout,W tej chwili nie możemy anulować realizacji transakcji za pomocą strony internetowej PayPal.
Make a payment from your new or existing PayPal account.,Dokonaj płatności z nowego lub istniejącego konta PayPal.
Tax,Podatek
Unable to Place Order,Nie można przetworzyć zamówienia
Edit,Edytuj
Unable to process,Nie można przetworzyć 
ending in,z końcówką
New Card,Nowej karty
Credit Card Number,Numer karty kredytowej
Month/Year,Miesiąc/Rok
Card Security Code,Kod bezpieczeństwa karty 
Payment Instructions,Instrukcje dotyczące płatności
Please make your payment now to complete your order.,"Aby zakończyć zamówienie, prosimy dokonać teraz płatności.  "
Provide your bank with the following wire transfer instruction:,Należy przekazać do banku następujące informacje dotyczące realizacji przekazu:
Amount:,Kwota:
Wire Transfer Reference Number:,Numer referencyjny przelewu:
Bank:,Bank:
Location:,Lokalizacja:
Account Holder:,Posiadacz konta:
Account Number:,Numer konta:
Swift Code:,Kod Swift:
Expiration Time:,Data ważności:
Payment Information,Informacja o płatnościach
Place Your Order,Złóż zamówienie
Saved Cards,Zapisane konta do karty kredytowej
Expiration Date:,Data ważności:
Save this card for future use,Proszę zachować konto i informacje dotyczące płatności dla przyszłych zakupów.
Card Name:,Nazwa karty kredytowej
There is an issue with Refund at DR side,Zwrot nie powiódł się w Digital River.
Error! Please check your address and try again.,Błąd! Proszę potwierdź adres i spróbuj ponownie.
Failed to get Source! Please try again.,Nie udało się pobrać Source. Proszę spróbuj ponownie.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","W tej chwili nie można kupić co najmniej jednego elementu w Twoim koszyku. Poczekaj i spróbuj ponownie złożyć zamówienie."
