English,Portuguese
Unable to Place Order!! Payment has been failed,Não podemos processar a sua encomenda. Falha na autorização de pagamento.
KlarnaCredit Checkout has been canceled.,A verificação de Klarna foi cancelada
Unable to cancel Klarna Checkout,Não podemos cancelar a compra do Klarna. 
Paypal Checkout has been canceled.,A verificação de PayPal foi cancelada
Unable to cancel Paypal Checkout,Não podemos cancelar a compra do PayPal. 
Make a payment from your new or existing PayPal account.,Realizar um pagamento a partir da sua conta PayPal nova ou já existente.
Tax,Imposto
Unable to Place Order,Não podemos processar a sua encomenda.
Edit,Editar
Unable to process,Incapaz de processar
ending in,a terminar em
New Card,Cartão novo
Credit Card Number,Número do cartão de crédito
Month/Year,Mês/Ano
Card Security Code,Código de Segurança do Cartão 
Payment Instructions,Instruções de pagamento
Please make your payment now to complete your order.,"Por favor, efetue agora o seu pagamento para concluir a sua encomenda.  "
Provide your bank with the following wire transfer instruction:,Forneça ao seu banco as seguintes instruções de transferência bancária:
Amount:,Quantia:
Wire Transfer Reference Number:,Número de Referência da Transferência Bancária:
Bank:,Banco:
Location:,Localização:
Account Holder:,Proprietário da conta:
Account Number:,Número de conta:
Swift Code:,Código Swift:
Expiration Time:,Data de validade:
Payment Information,Dados de pagamento
Place Your Order,efetuar encomenda
Saved Cards,Contas de Cartão de Crédito Guardadas
Expiration Date:,Data de validade:
Save this card for future use,Guardem estas informações da conta e de pagamento para futuras compras.
Card Name:,Nome do cartão de crédito
There is an issue with Refund at DR side,Falha no reembolso no Digital River
Error! Please check your address and try again.,Erro! Verifique seu endereço e tente novamente.
Failed to get Source! Please try again.,"Falha ao obter Source. Por favor, tente novamente."
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","Um ou mais itens em seu carrinho não podem ser comprados neste momento. Aguarde e tente fazer seu pedido novamente."
