Unable to Place Order!! Payment has been failed,Nemůžeme zpracovat vaši objednávku. Neúspěšné ověření platby.
KlarnaCredit Checkout has been canceled.,Pokladna Klarna byla zrušena.
Unable to cancel Klarna Checkout,V tuto chvíli není možné zpracovat vaši pokladna Klarna
Paypal Checkout has been canceled.,Pokladna PayPal byla zrušena.
Unable to cancel Paypal Checkout,V tuto chvíli není možné zpracovat vaši pokladna PayPal
Make a payment from your new or existing PayPal account.,Provést úhradu ze svého nového nebo stávajícího účtu PayPal.
Tax,Daň
Unable to Place Order,Nemůžeme zpracovat vaši objednávku
Edit,Upravit
Unable to process,Nemůžeme zpracovat
ending in,končící na
New Card,Novou kartu
Credit Card Number,Číslo kreditní karty
Month/Year,Měsíc/Rok  
Card Security Code,Zabezpečovací kód karty
Payment Instructions,Pokyny k platbě
Please make your payment now to complete your order.,"Prosím, proveďte nyní svoji platbu a dokončete objednávku. "
Provide your bank with the following wire transfer instruction:,Při své platbě musíte dát své bance následující informace o telegrafickém převodu:
Amount:,Částka:
Wire Transfer Reference Number:,Referenční číslo telegrafického převodu:
Bank:,Banka:
Location:,Místo:
Account Holder:,Vlastník účtu:
Account Number:,Číslo účtu:
Swift Code:,Identifikační kód banky (SWIFT):
Expiration Time:,Termín vypršení platnosti:
Payment Information,Informace o platbách
Place Your Order,Vložte objednávku
Saved Cards,Uložené kreditní karty
Expiration Date:,Termín vypršení platnosti:
Save this card for future use,Přeji si tento účet a platební informace uložit pro budoucí nákupy.
Card Name:,Název karty:
There is an issue with Refund at DR side,Vrácení peněz selhalo na Digital River
Error! Please check your address and try again.,Chyba! Prosím zkontrolujte svoji adresu. Zkusit znovu.
Failed to get Source! Please try again.,Nepodařilo se načíst Source. Zkusit znovu.
"One or more items in your cart cannot be purchased at this time. Please wait a minute and try placing your order again.","V tuto chvíli nelze koupit jednu nebo více položek v košíku. Počkejte prosím a zkuste zadat objednávku znovu."
